iso3_country,sector,subsector,start_time,end_time,gas,emissions_quantity,emissions_quantity_units,temporal_granularity,created_date,modified_date
JPN,transportation,road-transportation,2015-01-01 00:00:00,2015-12-31 00:00:00,ch4,22406.563062,tonnes,annual,2023-10-06 14:56:33.428328,2023-11-20 21:34:17.644551
JPN,transportation,road-transportation,2015-01-01 00:00:00,2015-12-31 00:00:00,co2,228894873.21431923,tonnes,annual,2023-10-06 14:56:33.428328,2023-11-20 21:34:17.644551
JPN,transportation,road-transportation,2015-01-01 00:00:00,2015-12-31 00:00:00,co2e_100yr,230412152.1155169,tonnes,annual,2023-10-06 14:56:33.428328,2023-11-20 21:34:17.644551
JPN,transportation,road-transportation,2015-01-01 00:00:00,2015-12-31 00:00:00,co2e_20yr,231051259.63780168,tonnes,annual,2023-10-06 14:56:33.428328,2023-11-20 21:34:17.644551
JPN,transportation,road-transportation,2015-01-01 00:00:00,2015-12-31 00:00:00,n2o,7286.394632,tonnes,annual,2023-10-06 14:56:33.428328,2023-11-20 21:34:17.644551
JPN,transportation,road-transportation,2016-01-01 00:00:00,2016-12-31 00:00:00,ch4,20553.508794,tonnes,annual,2023-10-06 14:56:33.428328,2023-11-20 21:34:17.644551
JPN,transportation,road-transportation,2016-01-01 00:00:00,2016-12-31 00:00:00,co2,225868495.4250152,tonnes,annual,2023-10-06 14:56:33.428328,2023-11-20 21:34:17.644551
JPN,transportation,road-transportation,2016-01-01 00:00:00,2016-12-31 00:00:00,co2e_100yr,227288937.9297603,tonnes,annual,2023-10-06 14:56:33.428328,2023-11-20 21:34:17.644551
JPN,transportation,road-transportation,2016-01-01 00:00:00,2016-12-31 00:00:00,co2e_20yr,227822324.73822176,tonnes,annual,2023-10-06 14:56:33.428328,2023-11-20 21:34:17.644551
JPN,transportation,road-transportation,2016-01-01 00:00:00,2016-12-31 00:00:00,n2o,7124.193611,tonnes,annual,2023-10-06 14:56:33.428328,2023-11-20 21:34:17.644551
JPN,transportation,road-transportation,2017-01-01 00:00:00,2017-12-31 00:00:00,ch4,19948.183083,tonnes,annual,2023-10-06 14:56:33.428328,2023-11-20 21:34:17.644551
JPN,transportation,road-transportation,2017-01-01 00:00:00,2017-12-31 00:00:00,co2,223569108.7143441,tonnes,annual,2023-10-06 14:56:33.428328,2023-11-20 21:34:17.644551
JPN,transportation,road-transportation,2017-01-01 00:00:00,2017-12-31 00:00:00,co2e_100yr,224970447.9777641,tonnes,annual,2023-10-06 14:56:33.428328,2023-11-20 21:34:17.644551
JPN,transportation,road-transportation,2017-01-01 00:00:00,2017-12-31 00:00:00,co2e_20yr,225473607.46039787,tonnes,annual,2023-10-06 14:56:33.428328,2023-11-20 21:34:17.644551
JPN,transportation,road-transportation,2017-01-01 00:00:00,2017-12-31 00:00:00,n2o,7080.644224000001,tonnes,annual,2023-10-06 14:56:33.428328,2023-11-20 21:34:17.644551
JPN,transportation,road-transportation,2018-01-01 00:00:00,2018-12-31 00:00:00,ch4,18721.330806,tonnes,annual,2023-10-06 14:56:33.428328,2023-11-20 21:34:17.644551
JPN,transportation,road-transportation,2018-01-01 00:00:00,2018-12-31 00:00:00,co2,220404627.061146,tonnes,annual,2023-10-06 14:56:33.428328,2023-11-20 21:34:17.644551
JPN,transportation,road-transportation,2018-01-01 00:00:00,2018-12-31 00:00:00,co2e_100yr,221731567.1669348,tonnes,annual,2023-10-06 14:56:33.428328,2023-11-20 21:34:17.644551
JPN,transportation,road-transportation,2018-01-01 00:00:00,2018-12-31 00:00:00,co2e_20yr,222168617.9790026,tonnes,annual,2023-10-06 14:56:33.428328,2023-11-20 21:34:17.644551
JPN,transportation,road-transportation,2018-01-01 00:00:00,2018-12-31 00:00:00,n2o,6915.939365,tonnes,annual,2023-10-06 14:56:33.428328,2023-11-20 21:34:17.644551
JPN,transportation,road-transportation,2019-01-01 00:00:00,2019-12-31 00:00:00,ch4,18179.645666,tonnes,annual,2023-10-06 14:56:33.428328,2023-11-20 21:34:18.868229
JPN,transportation,road-transportation,2019-01-01 00:00:00,2019-12-31 00:00:00,co2,216249832.54093537,tonnes,annual,2023-10-06 14:56:33.428328,2023-11-20 21:34:18.868229
JPN,transportation,road-transportation,2019-01-01 00:00:00,2019-12-31 00:00:00,co2e_100yr,217580454.25539944,tonnes,annual,2023-10-06 14:56:33.428328,2023-11-20 21:34:18.868229
JPN,transportation,road-transportation,2019-01-01 00:00:00,2019-12-31 00:00:00,co2e_20yr,217997345.4289572,tonnes,annual,2023-10-06 14:56:33.428328,2023-11-20 21:34:18.868229
JPN,transportation,road-transportation,2019-01-01 00:00:00,2019-12-31 00:00:00,n2o,6894.306603,tonnes,annual,2023-10-06 14:56:33.428328,2023-11-20 21:34:18.868229
JPN,transportation,road-transportation,2020-01-01 00:00:00,2020-12-31 00:00:00,ch4,16108.60118,tonnes,annual,2023-10-06 14:56:33.428328,2023-11-20 21:34:18.868229
JPN,transportation,road-transportation,2020-01-01 00:00:00,2020-12-31 00:00:00,co2,191585855.9533448,tonnes,annual,2023-10-06 14:56:33.428328,2023-11-20 21:34:18.868229
JPN,transportation,road-transportation,2020-01-01 00:00:00,2020-12-31 00:00:00,co2e_100yr,192764883.0347241,tonnes,annual,2023-10-06 14:56:33.428328,2023-11-20 21:34:18.868229
JPN,transportation,road-transportation,2020-01-01 00:00:00,2020-12-31 00:00:00,co2e_20yr,193134376.3423569,tonnes,annual,2023-10-06 14:56:33.428328,2023-11-20 21:34:18.868229
JPN,transportation,road-transportation,2020-01-01 00:00:00,2020-12-31 00:00:00,n2o,6108.239842999999,tonnes,annual,2023-10-06 14:56:33.428328,2023-11-20 21:34:18.868229
JPN,transportation,road-transportation,2021-01-01 00:00:00,2021-12-31 00:00:00,ch4,16434.219094,tonnes,annual,2023-10-06 14:56:33.428328,2023-11-20 21:34:18.868229
JPN,transportation,road-transportation,2021-01-01 00:00:00,2021-12-31 00:00:00,co2,195289363.1650379,tonnes,annual,2023-10-06 14:56:33.428328,2023-11-20 21:34:18.868229
JPN,transportation,road-transportation,2021-01-01 00:00:00,2021-12-31 00:00:00,co2e_100yr,196491662.72903472,tonnes,annual,2023-10-06 14:56:33.428328,2023-11-20 21:34:18.868229
JPN,transportation,road-transportation,2021-01-01 00:00:00,2021-12-31 00:00:00,co2e_20yr,196869188.21322063,tonnes,annual,2023-10-06 14:56:33.428328,2023-11-20 21:34:18.868229
JPN,transportation,road-transportation,2021-01-01 00:00:00,2021-12-31 00:00:00,n2o,6226.241264,tonnes,annual,2023-10-06 14:56:33.428328,2023-11-20 21:34:18.868229
JPN,transportation,road-transportation,2022-01-01 00:00:00,2022-12-31 00:00:00,ch4,16434.219094,tonnes,annual,2023-10-06 14:56:33.428328,2023-11-20 21:34:18.868229
