iso3_country,sector,subsector,start_time,end_time,gas,emissions_quantity,emissions_quantity_units,temporal_granularity,created_date,modified_date
MEX,transportation,railways,2015-01-01 00:00:00,2015-12-31 00:00:00,ch4,116.6814,tonnes,,2023-10-06 14:56:33.428328,
MEX,transportation,railways,2015-01-01 00:00:00,2015-12-31 00:00:00,co2,2083395.6,tonnes,,2023-10-06 14:56:33.428328,
MEX,transportation,railways,2015-01-01 00:00:00,2015-12-31 00:00:00,co2e_100yr,2299753.8432,tonnes,,2023-10-06 14:56:33.428328,
MEX,transportation,railways,2015-01-01 00:00:00,2015-12-31 00:00:00,co2e_20yr,2305483.884,tonnes,,2023-10-06 14:56:33.428328,
MEX,transportation,railways,2015-01-01 00:00:00,2015-12-31 00:00:00,n2o,804.1176,tonnes,,2023-10-06 14:56:33.428328,
MEX,transportation,railways,2016-01-01 00:00:00,2016-12-31 00:00:00,ch4,116.6814,tonnes,,2023-10-06 14:56:33.428328,
MEX,transportation,railways,2016-01-01 00:00:00,2016-12-31 00:00:00,co2,2083395.6,tonnes,,2023-10-06 14:56:33.428328,
MEX,transportation,railways,2016-01-01 00:00:00,2016-12-31 00:00:00,co2e_100yr,2299753.8432,tonnes,,2023-10-06 14:56:33.428328,
MEX,transportation,railways,2016-01-01 00:00:00,2016-12-31 00:00:00,co2e_20yr,2305483.884,tonnes,,2023-10-06 14:56:33.428328,
MEX,transportation,railways,2016-01-01 00:00:00,2016-12-31 00:00:00,n2o,804.1176,tonnes,,2023-10-06 14:56:33.428328,
MEX,transportation,railways,2017-01-01 00:00:00,2017-12-31 00:00:00,ch4,116.6814,tonnes,,2023-10-06 14:56:33.428328,
MEX,transportation,railways,2017-01-01 00:00:00,2017-12-31 00:00:00,co2,2083395.6,tonnes,,2023-10-06 14:56:33.428328,
MEX,transportation,railways,2017-01-01 00:00:00,2017-12-31 00:00:00,co2e_100yr,2299753.8432,tonnes,,2023-10-06 14:56:33.428328,
MEX,transportation,railways,2017-01-01 00:00:00,2017-12-31 00:00:00,co2e_20yr,2305483.884,tonnes,,2023-10-06 14:56:33.428328,
MEX,transportation,railways,2017-01-01 00:00:00,2017-12-31 00:00:00,n2o,804.1176,tonnes,,2023-10-06 14:56:33.428328,
MEX,transportation,railways,2018-01-01 00:00:00,2018-12-31 00:00:00,ch4,110.316962,tonnes,,2023-10-06 14:56:33.428328,2023-11-03 15:13:12.241369
MEX,transportation,railways,2018-01-01 00:00:00,2018-12-31 00:00:00,co2,1969755.869,tonnes,,2023-10-06 14:56:33.428328,2023-11-03 15:13:12.241369
MEX,transportation,railways,2018-01-01 00:00:00,2018-12-31 00:00:00,co2e_100yr,2174312.756451,tonnes,,2023-10-06 14:56:33.428328,2023-11-03 15:13:12.241369
MEX,transportation,railways,2018-01-01 00:00:00,2018-12-31 00:00:00,co2e_20yr,2179730.2496720003,tonnes,,2023-10-06 14:56:33.428328,2023-11-03 15:13:12.241369
MEX,transportation,railways,2018-01-01 00:00:00,2018-12-31 00:00:00,n2o,760.2566509999999,tonnes,,2023-10-06 14:56:33.428328,2023-11-03 15:13:12.241369
MEX,transportation,railways,2019-01-01 00:00:00,2019-12-31 00:00:00,ch4,112.328301,tonnes,,2023-10-06 14:56:33.428328,2023-11-03 15:13:05.180993
MEX,transportation,railways,2019-01-01 00:00:00,2019-12-31 00:00:00,co2,2005669.187,tonnes,,2023-10-06 14:56:33.428328,2023-11-03 15:13:05.180993
