iso3_country,sector,subsector,start_time,end_time,gas,emissions_quantity,emissions_quantity_units,temporal_granularity,created_date,modified_date
MEX,transportation,road-transportation,2015-01-01 00:00:00,2015-12-31 00:00:00,ch4,29439.89513,tonnes,,2023-10-06 14:56:33.428328,
MEX,transportation,road-transportation,2015-01-01 00:00:00,2015-12-31 00:00:00,co2,145936226.20000002,tonnes,,2023-10-06 14:56:33.428328,
MEX,transportation,road-transportation,2015-01-01 00:00:00,2015-12-31 00:00:00,co2e_100yr,148123412.93308502,tonnes,annual,2023-10-06 14:56:33.428328,2023-11-20 21:19:54.252158
MEX,transportation,road-transportation,2015-01-01 00:00:00,2015-12-31 00:00:00,co2e_20yr,149766904.155952,tonnes,annual,2023-10-06 14:56:33.428328,2023-11-20 21:19:54.252158
MEX,transportation,road-transportation,2015-01-01 00:00:00,2015-12-31 00:00:00,n2o,5142.904413,tonnes,,2023-10-06 14:56:33.428328,
MEX,transportation,road-transportation,2016-01-01 00:00:00,2016-12-31 00:00:00,ch4,29360.06771,tonnes,annual,2023-10-06 14:56:33.428328,2023-11-20 21:19:53.801331
MEX,transportation,road-transportation,2016-01-01 00:00:00,2016-12-31 00:00:00,co2,151040993.2,tonnes,annual,2023-10-06 14:56:33.428328,2023-11-20 21:19:53.801331
MEX,transportation,road-transportation,2016-01-01 00:00:00,2016-12-31 00:00:00,co2e_100yr,153292030.051395,tonnes,annual,2023-10-06 14:56:33.428328,2023-11-20 21:19:53.801331
MEX,transportation,road-transportation,2016-01-01 00:00:00,2016-12-31 00:00:00,co2e_20yr,154930801.560304,tonnes,annual,2023-10-06 14:56:33.428328,2023-11-20 21:19:53.801331
MEX,transportation,road-transportation,2016-01-01 00:00:00,2016-12-31 00:00:00,n2o,5392.282851,tonnes,annual,2023-10-06 14:56:33.428328,2023-11-20 21:19:53.801331
MEX,transportation,road-transportation,2017-01-01 00:00:00,2017-12-31 00:00:00,ch4,27716.763,tonnes,annual,2023-10-06 14:56:33.428328,2023-11-20 21:19:53.403281
MEX,transportation,road-transportation,2017-01-01 00:00:00,2017-12-31 00:00:00,co2,147163665.5,tonnes,annual,2023-10-06 14:56:33.428328,2023-11-20 21:19:53.403281
MEX,transportation,road-transportation,2017-01-01 00:00:00,2017-12-31 00:00:00,co2e_100yr,149332857.37572998,tonnes,annual,2023-10-06 14:56:33.428328,2023-11-20 21:19:53.403281
MEX,transportation,road-transportation,2017-01-01 00:00:00,2017-12-31 00:00:00,co2e_20yr,150879739.03764802,tonnes,annual,2023-10-06 14:56:33.428328,2023-11-20 21:19:53.403281
MEX,transportation,road-transportation,2017-01-01 00:00:00,2017-12-31 00:00:00,n2o,5257.066081999999,tonnes,annual,2023-10-06 14:56:33.428328,2023-11-20 21:19:53.403281
MEX,transportation,road-transportation,2018-01-01 00:00:00,2018-12-31 00:00:00,ch4,25961.81574,tonnes,annual,2023-10-06 14:56:33.428328,2023-11-20 21:19:53.017067
MEX,transportation,road-transportation,2018-01-01 00:00:00,2018-12-31 00:00:00,co2,143383674.8,tonnes,annual,2023-10-06 14:56:33.428328,2023-11-20 21:19:53.017067
MEX,transportation,road-transportation,2018-01-01 00:00:00,2018-12-31 00:00:00,co2e_100yr,145441784.765765,tonnes,annual,2023-10-06 14:56:33.428328,2023-11-20 21:19:53.017067
MEX,transportation,road-transportation,2018-01-01 00:00:00,2018-12-31 00:00:00,co2e_20yr,146890623.129752,tonnes,annual,2023-10-06 14:56:33.428328,2023-11-20 21:19:53.017067
MEX,transportation,road-transportation,2018-01-01 00:00:00,2018-12-31 00:00:00,n2o,5023.317453,tonnes,annual,2023-10-06 14:56:33.428328,2023-11-20 21:19:53.017067
MEX,transportation,road-transportation,2019-01-01 00:00:00,2019-12-31 00:00:00,ch4,26485.80738,tonnes,annual,2023-10-06 14:56:33.428328,2023-11-20 21:19:52.638413
MEX,transportation,road-transportation,2019-01-01 00:00:00,2019-12-31 00:00:00,co2,145948717.5,tonnes,annual,2023-10-06 14:56:33.428328,2023-11-20 21:19:52.638413
MEX,transportation,road-transportation,2019-01-01 00:00:00,2019-12-31 00:00:00,co2e_100yr,148044684.95724502,tonnes,annual,2023-10-06 14:56:33.428328,2023-11-20 21:19:52.638413
MEX,transportation,road-transportation,2019-01-01 00:00:00,2019-12-31 00:00:00,co2e_20yr,149522779.359768,tonnes,annual,2023-10-06 14:56:33.428328,2023-11-20 21:19:52.638413
MEX,transportation,road-transportation,2019-01-01 00:00:00,2019-12-31 00:00:00,n2o,5110.810757,tonnes,annual,2023-10-06 14:56:33.428328,2023-11-20 21:19:52.638413
MEX,transportation,road-transportation,2020-01-01 00:00:00,2020-12-31 00:00:00,ch4,19362.23921,tonnes,annual,2023-10-06 14:56:33.428328,2023-11-20 21:19:52.236966
MEX,transportation,road-transportation,2020-01-01 00:00:00,2020-12-31 00:00:00,co2,103621621.4,tonnes,annual,2023-10-06 14:56:33.428328,2023-11-20 21:19:52.236966
MEX,transportation,road-transportation,2020-01-01 00:00:00,2020-12-31 00:00:00,co2e_100yr,105122465.121295,tonnes,annual,2023-10-06 14:56:33.428328,2023-11-20 21:19:52.236966
MEX,transportation,road-transportation,2020-01-01 00:00:00,2020-12-31 00:00:00,co2e_20yr,106203132.777344,tonnes,annual,2023-10-06 14:56:33.428328,2023-11-20 21:19:52.236966
MEX,transportation,road-transportation,2020-01-01 00:00:00,2020-12-31 00:00:00,n2o,3617.739711,tonnes,annual,2023-10-06 14:56:33.428328,2023-11-20 21:19:52.236966
